time (UTC),latitude,longitude,depth,event_number,ntra_a,ntra_b,ntra_c,slca_a,slca_b,slca_c,phos_a,phos_b,phos_c,amon_a,amon_b,amon_c
2006-04-19 21:10:00,41.325,-70.566666,0.0,MVCO_046,0.070,0.060,NaN,2.500,3.100,NaN,0.050,0.060,NaN,0.600,0.600,NaN
2006-04-28 14:15:00,41.325,-70.566666,0.0,MVCO_047,0.080,0.060,NaN,3.100,2.900,NaN,0.070,0.060,NaN,0.500,0.300,NaN
2006-05-08 17:00:00,41.325,-70.566666,0.0,MVCO_048,0.050,0.080,NaN,3.100,3.100,NaN,0.050,0.070,NaN,1.300,1.500,NaN
2006-05-24 14:20:00,41.325,-70.566666,0.0,MVCO_049,0.050,0.060,NaN,11.900,10.700,NaN,0.070,0.070,NaN,0.500,0.300,NaN
2006-06-06 18:15:00,41.325,-70.566666,0.0,MVCO_050,0.080,0.070,NaN,8.700,8.000,NaN,0.060,0.050,NaN,1.500,1.500,NaN
2006-06-21 18:00:00,41.325,-70.566666,0.0,MVCO_051,0.062,0.062,NaN,12.000,11.100,NaN,0.167,0.110,NaN,1.550,1.480,NaN
2006-07-17 20:20:00,41.325,-70.566666,0.0,MVCO_052,0.081,0.073,NaN,4.450,5.200,NaN,0.140,0.000,NaN,1.170,1.160,NaN
2006-07-27 16:40:00,41.325,-70.566666,0.0,MVCO_053,0.237,0.262,NaN,7.450,7.800,NaN,0.169,0.158,NaN,2.350,2.060,NaN
2006-08-04 18:25:00,41.325,-70.566666,0.0,MVCO_054,0.063,0.055,NaN,15.300,16.700,NaN,0.000,0.000,NaN,0.781,0.464,NaN
2006-08-26 19:00:00,41.325,-70.566666,0.0,MVCO_055,0.091,0.081,NaN,18.900,17.600,NaN,0.000,0.000,NaN,0.913,1.400,NaN
2006-08-30 14:30:00,41.325,-70.566666,0.0,MVCO_056,0.089,0.064,NaN,6.450,6.530,NaN,0.093,0.063,NaN,2.030,2.050,NaN
2006-09-27 15:50:00,41.325,-70.566666,0.0,MVCO_057,1.623,1.750,NaN,2.560,2.530,NaN,0.000,0.053,NaN,2.140,1.970,NaN
2006-11-03 20:00:00,41.325,-70.566666,0.0,MVCO_058,1.340,1.230,NaN,6.780,6.040,NaN,0.257,0.285,NaN,3.290,2.600,NaN
2006-12-18 20:00:00,41.325,-70.566666,0.0,MVCO_059,6.070,5.910,NaN,3.600,3.180,NaN,0.219,0.073,NaN,5.020,5.090,NaN
2006-12-20 19:30:00,41.325,-70.566666,0.0,MVCO_060,0.791,0.705,NaN,1.990,1.570,NaN,0.122,0.139,NaN,2.120,1.950,NaN
2007-01-24 18:00:00,41.325,-70.566666,0.0,MVCO_061,1.100,1.060,NaN,3.350,3.530,NaN,0.000,0.000,NaN,1.100,1.050,NaN
2007-02-01 16:30:00,41.325,-70.566666,0.0,MVCO_062,0.053,0.000,NaN,2.910,3.240,NaN,0.073,0.082,NaN,2.020,1.980,NaN
