"event_number","event_number_niskin","ship","cruise_ID","datetime","latitude","longitude","depth","replicate","nitrate_nitrite","ammonium","silicate","phosphate","iode_quality_flag_phosphate"
"MVCO_003","MVCO_003_01",NA,NA,2003-05-29 14:45:00,41.325,-70.5667,0,"a",0.648,13.53,1.845,0.407,1
"MVCO_005","MVCO_005_01",NA,NA,2003-06-25 17:55:00,41.325,-70.5667,0,"a",0.095,0.781,2.07,0.464,1
"MVCO_006","MVCO_006_01",NA,NA,2003-07-07 18:10:00,41.325,-70.5667,0,"a",0.053,0.689,4.062,0.964,1
"MVCO_008","MVCO_008_01",NA,NA,2003-07-31 18:15:00,41.325,-70.5667,0,"a",0.12,0.601,4.916,0.268,1
"MVCO_008","MVCO_008_01",NA,NA,2003-07-31 18:15:00,41.325,-70.5667,0,"b",0.116,0.599,5.887,0.214,1
"MVCO_009","MVCO_009_01",NA,NA,2003-08-13 17:30:00,41.325,-70.5667,0,"a",0,1.599,41.899,0.371,1
"MVCO_009","MVCO_009_01",NA,NA,2003-08-13 17:30:00,41.325,-70.5667,0,"b",0.742,3.236,46.314,0.373,1
"MVCO_010","MVCO_010_01",NA,NA,2003-08-15 17:00:00,41.325,-70.5667,0,"a",0,1.552,2.689,1.796,1
"MVCO_010","MVCO_010_01",NA,NA,2003-08-15 17:00:00,41.325,-70.5667,0,"b",0,0.887,1.05,1.469,1
"MVCO_014","MVCO_014_01",NA,NA,2003-10-01 22:00:00,41.325,-70.5667,0,"a",0.167,0.746,3.16,0.383,1
"MVCO_014","MVCO_014_01",NA,NA,2003-10-01 22:00:00,41.325,-70.5667,0,"b",0.089,0.768,9.361,0.283,1
"MVCO_015","MVCO_015_01",NA,NA,2003-10-09 13:00:00,41.325,-70.5667,0,"a",1.18,2.999,11.186,0.457,1
"MVCO_015","MVCO_015_01",NA,NA,2003-10-09 13:00:00,41.325,-70.5667,0,"b",0.28,1.883,7.565,2.59,1
"MVCO_017","MVCO_017_01",NA,NA,2003-11-18 14:00:00,41.325,-70.5667,0,"a",1.201,14.382,2.59,1.449,1
"MVCO_017","MVCO_017_01",NA,NA,2003-11-18 14:00:00,41.325,-70.5667,0,"b",0.83,1.788,5.171,0.499,1
"MVCO_017","MVCO_017_03",NA,NA,2003-11-18 14:00:00,41.325,-70.5667,4,"a",2.032,1.864,4.2,0.604,1
"MVCO_017","MVCO_017_03",NA,NA,2003-11-18 14:00:00,41.325,-70.5667,4,"b",2.008,2.772,4.749,0.687,1
